en,f0,file,time
70.0,368.0,li1402at,1.2
64.0,361.0,li1402at,1.22
54.0,0.0,li1402at,1.24
45.0,0.0,li1402at,1.26
43.0,0.0,li1402at,1.28
40.0,0.0,li1402at,1.3
39.0,0.0,li1402at,1.32
41.0,0.0,li1402at,1.34
41.0,0.0,li1402at,1.36
42.0,0.0,li1402at,1.38
42.0,0.0,li1402at,1.4
41.0,0.0,li1402at,1.42
41.0,0.0,li1402at,1.44
39.0,0.0,li1402at,1.46
39.0,0.0,li1402at,1.48
41.0,0.0,li1402at,1.5
41.0,0.0,li1402at,1.52
40.0,0.0,li1402at,1.54
40.0,0.0,li1402at,1.56
39.0,0.0,li1402at,1.58
40.0,0.0,li1402at,1.6
43.0,0.0,li1402at,1.62
40.0,0.0,li1402at,1.64
37.0,0.0,li1402at,1.66
36.0,0.0,li1402at,1.68
36.0,0.0,li1402at,1.7
45.0,0.0,li1402at,1.72
63.0,286.0,li1402at,1.74
72.0,301.0,li1402at,1.76
78.0,334.0,li1402at,1.78
79.0,350.0,li1402at,1.8
74.0,340.0,li1402at,1.82
59.0,0.0,li1402at,1.84
59.0,0.0,li1402at,1.86
59.0,0.0,li1402at,1.88
67.0,454.0,li1402at,1.9
81.0,446.0,li1402at,1.92
85.0,453.0,li1402at,1.94
86.0,466.0,li1402at,1.96
84.0,484.0,li1402at,1.98
81.0,508.0,li1402at,2.0
77.0,499.0,li1402at,2.02
75.0,477.0,li1402at,2.04
75.0,463.0,li1402at,2.06
72.0,455.0,li1402at,2.08
70.0,454.0,li1402at,2.1
68.0,453.0,li1402at,2.12
65.0,453.0,li1402at,2.14
60.0,459.0,li1402at,2.16
51.0,0.0,li1402at,2.18
42.0,0.0,li1402at,2.2
40.0,0.0,li1402at,2.22
38.0,0.0,li1402at,2.24
39.0,0.0,li1402at,2.26
0.0,0.0,li1402at,2.28
0.0,0.0,li1402at,2.3
0.0,0.0,cy0203ap,0.02
0.0,0.0,cy0203ap,0.04
58.0,0.0,cy0203ap,0.06
57.0,0.0,cy0203ap,0.08
56.0,0.0,cy0203ap,0.1
54.0,0.0,cy0203ap,0.12
53.0,0.0,cy0203ap,0.14
54.0,0.0,cy0203ap,0.16
53.0,0.0,cy0203ap,0.18
54.0,0.0,cy0203ap,0.2
54.0,0.0,cy0203ap,0.22
55.0,0.0,cy0203ap,0.24
56.0,0.0,cy0203ap,0.26
55.0,0.0,cy0203ap,0.28
55.0,0.0,cy0203ap,0.3
55.0,0.0,cy0203ap,0.32
57.0,0.0,cy0203ap,0.34
57.0,0.0,cy0203ap,0.36
55.0,0.0,cy0203ap,0.38
55.0,0.0,cy0203ap,0.4
57.0,0.0,cy0203ap,0.42
57.0,0.0,cy0203ap,0.44
55.0,0.0,cy0203ap,0.46
54.0,0.0,cy0203ap,0.48
58.0,0.0,cy0203ap,0.5
54.0,0.0,cy0203ap,0.52
57.0,0.0,cy0203ap,0.54
79.0,376.0,cy0203ap,0.56
90.0,394.0,cy0203ap,0.58
91.0,403.0,cy0203ap,0.6
90.0,410.0,cy0203ap,0.62
89.0,407.0,cy0203ap,0.64
82.0,386.0,cy0203ap,0.66
75.0,0.0,cy0203ap,0.68
79.0,0.0,cy0203ap,0.7
83.0,0.0,cy0203ap,0.72
83.0,0.0,cy0203ap,0.74
79.0,0.0,cy0203ap,0.76
82.0,239.0,cy0203ap,0.78
88.0,220.0,cy0203ap,0.8
87.0,202.0,cy0203ap,0.82
83.0,185.0,cy0203ap,0.84
74.0,0.0,cy0203ap,0.86
62.0,0.0,cy0203ap,0.88
66.0,0.0,cy0203ap,0.9
70.0,0.0,cy0203ap,0.92
74.0,0.0,cy0203ap,0.94
82.0,178.0,cy0203ap,0.96
80.0,169.0,cy0203ap,0.98
69.0,0.0,cy0203ap,1.0
56.0,0.0,cy0203ap,1.02
61.0,0.0,cy0203ap,1.04
72.0,0.0,cy0203ap,1.06
73.0,0.0,cy0203ap,1.08
70.0,0.0,cy0203ap,1.1
65.0,0.0,cy0203ap,1.12
77.0,221.0,cy0203ap,1.14
84.0,230.0,cy0203ap,1.16
87.0,240.0,cy0203ap,1.18
90.0,255.0,cy0203ap,1.2
90.0,252.0,cy0203ap,1.22
91.0,256.0,cy0203ap,1.24
90.0,255.0,cy0203ap,1.26
88.0,248.0,cy0203ap,1.28
80.0,222.0,cy0203ap,1.3
80.0,212.0,cy0203ap,1.32
84.0,207.0,cy0203ap,1.34
86.0,198.0,cy0203ap,1.36
86.0,192.0,cy0203ap,1.38
84.0,186.0,cy0203ap,1.4
83.0,183.0,cy0203ap,1.42
80.0,176.0,cy0203ap,1.44
74.0,171.0,cy0203ap,1.46
75.0,178.0,cy0203ap,1.48
81.0,186.0,cy0203ap,1.5
85.0,190.0,cy0203ap,1.52
86.0,192.0,cy0203ap,1.54
87.0,192.0,cy0203ap,1.56
87.0,191.0,cy0203ap,1.58
86.0,191.0,cy0203ap,1.6
85.0,188.0,cy0203ap,1.62
82.0,185.0,cy0203ap,1.64
73.0,185.0,cy0203ap,1.66
64.0,0.0,cy0203ap,1.68
65.0,0.0,cy0203ap,1.7
75.0,0.0,cy0203ap,1.72
82.0,189.0,cy0203ap,1.74
82.0,93.0,cy0203ap,1.76
82.0,92.0,cy0203ap,1.78
82.0,91.0,cy0203ap,1.8
81.0,91.0,cy0203ap,1.82
80.0,91.0,cy0203ap,1.84
78.0,179.0,cy0203ap,1.86
76.0,181.0,cy0203ap,1.88
74.0,184.0,cy0203ap,1.9
69.0,191.0,cy0203ap,1.92
63.0,0.0,cy0203ap,1.94
69.0,501.0,cy0203ap,1.96
0.0,496.0,cy0203ap,1.98
0.0,0.0,cy0203ap,2.0
0.0,0.0,li0465pw,0.02
42.0,0.0,li0465pw,0.04
43.0,0.0,li0465pw,0.06
40.0,0.0,li0465pw,0.08
39.0,0.0,li0465pw,0.1
39.0,0.0,li0465pw,0.12
38.0,0.0,li0465pw,0.14
38.0,0.0,li0465pw,0.16
42.0,0.0,li0465pw,0.18
40.0,0.0,li0465pw,0.2
38.0,0.0,li0465pw,0.22
38.0,0.0,li0465pw,0.24
38.0,0.0,li0465pw,0.26
39.0,0.0,li0465pw,0.28
38.0,0.0,li0465pw,0.3
38.0,0.0,li0465pw,0.32
38.0,0.0,li0465pw,0.34
39.0,0.0,li0465pw,0.36
41.0,0.0,li0465pw,0.38
41.0,0.0,li0465pw,0.4
38.0,0.0,li0465pw,0.42
37.0,0.0,li0465pw,0.44
40.0,0.0,li0465pw,0.46
41.0,0.0,li0465pw,0.48
38.0,0.0,li0465pw,0.5
36.0,0.0,li0465pw,0.52
37.0,0.0,li0465pw,0.54
38.0,0.0,li0465pw,0.56
38.0,0.0,li0465pw,0.58
40.0,0.0,li0465pw,0.6
39.0,0.0,li0465pw,0.62
40.0,0.0,li0465pw,0.64
40.0,0.0,li0465pw,0.66
41.0,0.0,li0465pw,0.68
39.0,0.0,li0465pw,0.7
41.0,0.0,li0465pw,0.72
42.0,0.0,li0465pw,0.74
55.0,0.0,li0465pw,0.76
68.0,255.0,li0465pw,0.78
71.0,245.0,li0465pw,0.8
71.0,248.0,li0465pw,0.82
70.0,257.0,li0465pw,0.84
70.0,259.0,li0465pw,0.86
67.0,254.0,li0465pw,0.88
55.0,0.0,li0465pw,0.9
40.0,0.0,li0465pw,0.92
36.0,0.0,li0465pw,0.94
43.0,0.0,li0465pw,0.96
59.0,0.0,li0465pw,0.98
68.0,196.0,li0465pw,1.0
70.0,186.0,li0465pw,1.02
69.0,181.0,li0465pw,1.04
65.0,196.0,li0465pw,1.06
61.0,0.0,li0465pw,1.08
51.0,0.0,li0465pw,1.1
41.0,0.0,li0465pw,1.12
36.0,0.0,li0465pw,1.14
39.0,0.0,li0465pw,1.16
40.0,0.0,li0465pw,1.18
38.0,0.0,li0465pw,1.2
39.0,0.0,li0465pw,1.22
39.0,0.0,li0465pw,1.24
38.0,0.0,li0465pw,1.26
37.0,0.0,li0465pw,1.28
36.0,0.0,li0465pw,1.3
36.0,0.0,li0465pw,1.32
35.0,0.0,li0465pw,1.34
35.0,0.0,li0465pw,1.36
36.0,0.0,li0465pw,1.38
37.0,0.0,li0465pw,1.4
38.0,0.0,li0465pw,1.42
39.0,0.0,li0465pw,1.44
40.0,0.0,li0465pw,1.46
39.0,0.0,li0465pw,1.48
0.0,0.0,li0465pw,1.5
0.0,0.0,li0465pw,1.52
0.0,0.0,cy0215at,0.02
0.0,0.0,cy0215at,0.04
53.0,0.0,cy0215at,0.06
53.0,0.0,cy0215at,0.08
53.0,0.0,cy0215at,0.1
53.0,0.0,cy0215at,0.12
52.0,0.0,cy0215at,0.14
52.0,0.0,cy0215at,0.16
53.0,0.0,cy0215at,0.18
52.0,0.0,cy0215at,0.2
53.0,0.0,cy0215at,0.22
53.0,0.0,cy0215at,0.24
52.0,0.0,cy0215at,0.26
54.0,0.0,cy0215at,0.28
54.0,0.0,cy0215at,0.3
52.0,0.0,cy0215at,0.32
52.0,0.0,cy0215at,0.34
53.0,0.0,cy0215at,0.36
53.0,0.0,cy0215at,0.38
53.0,0.0,cy0215at,0.4
53.0,0.0,cy0215at,0.42
53.0,0.0,cy0215at,0.44
53.0,0.0,cy0215at,0.46
53.0,0.0,cy0215at,0.48
52.0,0.0,cy0215at,0.5
52.0,0.0,cy0215at,0.52
52.0,0.0,cy0215at,0.54
53.0,0.0,cy0215at,0.56
53.0,0.0,cy0215at,0.58
58.0,0.0,cy0215at,0.6
68.0,0.0,cy0215at,0.62
84.0,406.0,cy0215at,0.64
92.0,431.0,cy0215at,0.66
92.0,449.0,cy0215at,0.68
91.0,441.0,cy0215at,0.7
85.0,421.0,cy0215at,0.72
72.0,0.0,cy0215at,0.74
64.0,0.0,cy0215at,0.76
59.0,223.0,cy0215at,0.78
58.0,0.0,cy0215at,0.8
72.0,0.0,cy0215at,0.82
87.0,295.0,cy0215at,0.84
89.0,258.0,cy0215at,0.86
84.0,219.0,cy0215at,0.88
79.0,211.0,cy0215at,0.9
71.0,240.0,cy0215at,0.92
60.0,0.0,cy0215at,0.94
58.0,0.0,cy0215at,0.96
0.0,0.0,cy0215at,0.98
0.0,0.0,cy0215at,1.0
0.0,0.0,je0492at,0.02
0.0,0.0,je0492at,0.04
45.0,0.0,je0492at,0.06
44.0,0.0,je0492at,0.08
44.0,0.0,je0492at,0.1
42.0,0.0,je0492at,0.12
41.0,0.0,je0492at,0.14
42.0,0.0,je0492at,0.16
42.0,0.0,je0492at,0.18
43.0,0.0,je0492at,0.2
45.0,0.0,je0492at,0.22
43.0,0.0,je0492at,0.24
43.0,0.0,je0492at,0.26
44.0,0.0,je0492at,0.28
45.0,0.0,je0492at,0.3
45.0,0.0,je0492at,0.32
44.0,0.0,je0492at,0.34
43.0,0.0,je0492at,0.36
56.0,0.0,je0492at,0.38
67.0,292.0,je0492at,0.4
72.0,298.0,je0492at,0.42
75.0,302.0,je0492at,0.44
76.0,311.0,je0492at,0.46
76.0,315.0,je0492at,0.48
70.0,296.0,je0492at,0.5
59.0,277.0,je0492at,0.52
55.0,0.0,je0492at,0.54
71.0,321.0,je0492at,0.56
78.0,334.0,je0492at,0.58
78.0,345.0,je0492at,0.6
76.0,335.0,je0492at,0.62
73.0,318.0,je0492at,0.64
74.0,318.0,je0492at,0.66
75.0,328.0,je0492at,0.68
75.0,333.0,je0492at,0.7
75.0,332.0,je0492at,0.72
73.0,331.0,je0492at,0.74
73.0,325.0,je0492at,0.76
72.0,324.0,je0492at,0.78
66.0,310.0,je0492at,0.8
51.0,0.0,je0492at,0.82
43.0,0.0,je0492at,0.84
43.0,0.0,je0492at,0.86
50.0,0.0,je0492at,0.88
49.0,0.0,je0492at,0.9
68.0,0.0,je0492at,0.92
77.0,521.0,je0492at,0.94
78.0,301.0,je0492at,0.96
81.0,352.0,je0492at,0.98
79.0,397.0,je0492at,1.0
66.0,406.0,je0492at,1.02
51.0,0.0,je0492at,1.04
47.0,0.0,je0492at,1.06
46.0,0.0,je0492at,1.08
43.0,0.0,je0492at,1.1
44.0,0.0,je0492at,1.12
43.0,0.0,je0492at,1.14
44.0,0.0,je0492at,1.16
43.0,0.0,je0492at,1.18
44.0,0.0,je0492at,1.2
42.0,0.0,je0492at,1.22
43.0,0.0,je0492at,1.24
0.0,0.0,je0492at,1.26
0.0,0.0,je0492at,1.28
0.0,0.0,li1400pw,0.02
0.0,0.0,li1400pw,0.04
39.0,0.0,li1400pw,0.06
39.0,0.0,li1400pw,0.08
39.0,0.0,li1400pw,0.1
38.0,0.0,li1400pw,0.12
39.0,0.0,li1400pw,0.14
38.0,0.0,li1400pw,0.16
39.0,0.0,li1400pw,0.18
37.0,0.0,li1400pw,0.2
39.0,0.0,li1400pw,0.22
41.0,0.0,li1400pw,0.24
41.0,0.0,li1400pw,0.26
41.0,0.0,li1400pw,0.28
39.0,0.0,li1400pw,0.3
40.0,0.0,li1400pw,0.32
40.0,0.0,li1400pw,0.34
40.0,0.0,li1400pw,0.36
39.0,0.0,li1400pw,0.38
39.0,0.0,li1400pw,0.4
39.0,0.0,li1400pw,0.42
40.0,0.0,li1400pw,0.44
40.0,0.0,li1400pw,0.46
42.0,0.0,li1400pw,0.48
43.0,0.0,li1400pw,0.5
50.0,0.0,li1400pw,0.52
52.0,0.0,li1400pw,0.54
44.0,0.0,li1400pw,0.56
47.0,0.0,li1400pw,0.58
47.0,0.0,li1400pw,0.6
41.0,0.0,li1400pw,0.62
40.0,0.0,li1400pw,0.64
41.0,0.0,li1400pw,0.66
40.0,0.0,li1400pw,0.68
40.0,0.0,li1400pw,0.7
40.0,0.0,li1400pw,0.72
39.0,0.0,li1400pw,0.74
40.0,0.0,li1400pw,0.76
43.0,0.0,li1400pw,0.78
52.0,0.0,li1400pw,0.8
55.0,0.0,li1400pw,0.82
62.0,246.0,li1400pw,0.84
72.0,242.0,li1400pw,0.86
73.0,243.0,li1400pw,0.88
71.0,239.0,li1400pw,0.9
66.0,224.0,li1400pw,0.92
59.0,213.0,li1400pw,0.94
59.0,214.0,li1400pw,0.96
66.0,204.0,li1400pw,0.98
68.0,195.0,li1400pw,1.0
68.0,190.0,li1400pw,1.02
67.0,186.0,li1400pw,1.04
66.0,185.0,li1400pw,1.06
63.0,191.0,li1400pw,1.08
60.0,194.0,li1400pw,1.1
59.0,191.0,li1400pw,1.12
62.0,184.0,li1400pw,1.14
66.0,190.0,li1400pw,1.16
67.0,191.0,li1400pw,1.18
67.0,189.0,li1400pw,1.2
64.0,182.0,li1400pw,1.22
60.0,184.0,li1400pw,1.24
55.0,182.0,li1400pw,1.26
56.0,0.0,li1400pw,1.28
57.0,0.0,li1400pw,1.3
59.0,0.0,li1400pw,1.32
59.0,0.0,li1400pw,1.34
59.0,0.0,li1400pw,1.36
60.0,0.0,li1400pw,1.38
66.0,244.0,li1400pw,1.4
75.0,233.0,li1400pw,1.42
77.0,233.0,li1400pw,1.44
76.0,232.0,li1400pw,1.46
74.0,232.0,li1400pw,1.48
68.0,231.0,li1400pw,1.5
56.0,228.0,li1400pw,1.52
48.0,0.0,li1400pw,1.54
50.0,0.0,li1400pw,1.56
47.0,0.0,li1400pw,1.58
48.0,0.0,li1400pw,1.6
58.0,0.0,li1400pw,1.62
66.0,189.0,li1400pw,1.64
68.0,180.0,li1400pw,1.66
66.0,172.0,li1400pw,1.68
66.0,184.0,li1400pw,1.7
71.0,188.0,li1400pw,1.72
70.0,184.0,li1400pw,1.74
62.0,168.0,li1400pw,1.76
54.0,164.0,li1400pw,1.78
49.0,0.0,li1400pw,1.8
48.0,0.0,li1400pw,1.82
51.0,443.0,li1400pw,1.84
60.0,203.0,li1400pw,1.86
68.0,191.0,li1400pw,1.88
69.0,188.0,li1400pw,1.9
69.0,186.0,li1400pw,1.92
68.0,184.0,li1400pw,1.94
67.0,180.0,li1400pw,1.96
66.0,176.0,li1400pw,1.98
65.0,174.0,li1400pw,2.0
64.0,170.0,li1400pw,2.02
62.0,168.0,li1400pw,2.04
61.0,168.0,li1400pw,2.06
61.0,167.0,li1400pw,2.08
60.0,85.0,li1400pw,2.1
57.0,89.0,li1400pw,2.12
53.0,92.0,li1400pw,2.14
50.0,0.0,li1400pw,2.16
42.0,0.0,li1400pw,2.18
40.0,0.0,li1400pw,2.2
40.0,0.0,li1400pw,2.22
40.0,0.0,li1400pw,2.24
39.0,0.0,li1400pw,2.26
0.0,0.0,li1400pw,2.28
0.0,0.0,li1400pw,2.3
0.0,0.0,cy0232ap,0.02
0.0,0.0,cy0232ap,0.04
54.0,0.0,cy0232ap,0.06
55.0,0.0,cy0232ap,0.08
55.0,0.0,cy0232ap,0.1
53.0,0.0,cy0232ap,0.12
54.0,0.0,cy0232ap,0.14
54.0,0.0,cy0232ap,0.16
55.0,0.0,cy0232ap,0.18
54.0,0.0,cy0232ap,0.2
52.0,0.0,cy0232ap,0.22
53.0,0.0,cy0232ap,0.24
54.0,0.0,cy0232ap,0.26
51.0,0.0,cy0232ap,0.28
53.0,0.0,cy0232ap,0.3
54.0,0.0,cy0232ap,0.32
52.0,0.0,cy0232ap,0.34
52.0,0.0,cy0232ap,0.36
53.0,0.0,cy0232ap,0.38
54.0,0.0,cy0232ap,0.4
52.0,0.0,cy0232ap,0.42
54.0,0.0,cy0232ap,0.44
53.0,0.0,cy0232ap,0.46
51.0,0.0,cy0232ap,0.48
52.0,0.0,cy0232ap,0.5
59.0,0.0,cy0232ap,0.52
74.0,0.0,cy0232ap,0.54
77.0,0.0,cy0232ap,0.56
83.0,285.0,cy0232ap,0.58
90.0,292.0,cy0232ap,0.6
92.0,318.0,cy0232ap,0.62
92.0,341.0,cy0232ap,0.64
92.0,359.0,cy0232ap,0.66
91.0,361.0,cy0232ap,0.68
90.0,343.0,cy0232ap,0.7
89.0,314.0,cy0232ap,0.72
89.0,272.0,cy0232ap,0.74
89.0,243.0,cy0232ap,0.76
87.0,211.0,cy0232ap,0.78
85.0,193.0,cy0232ap,0.8
81.0,178.0,cy0232ap,0.82
73.0,171.0,cy0232ap,0.84
71.0,171.0,cy0232ap,0.86
67.0,164.0,cy0232ap,0.88
62.0,0.0,cy0232ap,0.9
62.0,0.0,cy0232ap,0.92
66.0,0.0,cy0232ap,0.94
80.0,197.0,cy0232ap,0.96
86.0,196.0,cy0232ap,0.98
87.0,201.0,cy0232ap,1.0
87.0,215.0,cy0232ap,1.02
87.0,225.0,cy0232ap,1.04
87.0,231.0,cy0232ap,1.06
87.0,230.0,cy0232ap,1.08
85.0,219.0,cy0232ap,1.1
76.0,204.0,cy0232ap,1.12
78.0,0.0,cy0232ap,1.14
87.0,0.0,cy0232ap,1.16
91.0,0.0,cy0232ap,1.18
89.0,385.0,cy0232ap,1.2
88.0,385.0,cy0232ap,1.22
88.0,0.0,cy0232ap,1.24
91.0,0.0,cy0232ap,1.26
91.0,0.0,cy0232ap,1.28
85.0,541.0,cy0232ap,1.3
81.0,490.0,cy0232ap,1.32
76.0,454.0,cy0232ap,1.34
68.0,0.0,cy0232ap,1.36
60.0,0.0,cy0232ap,1.38
57.0,0.0,cy0232ap,1.4
56.0,0.0,cy0232ap,1.42
55.0,0.0,cy0232ap,1.44
0.0,0.0,cy0232ap,1.46
0.0,0.0,cy0232ap,1.48
0.0,0.0,cy0267pw,0.02
0.0,0.0,cy0267pw,0.04
55.0,0.0,cy0267pw,0.06
54.0,0.0,cy0267pw,0.08
54.0,0.0,cy0267pw,0.1
55.0,0.0,cy0267pw,0.12
56.0,0.0,cy0267pw,0.14
56.0,0.0,cy0267pw,0.16
55.0,0.0,cy0267pw,0.18
56.0,0.0,cy0267pw,0.2
58.0,0.0,cy0267pw,0.22
56.0,0.0,cy0267pw,0.24
57.0,0.0,cy0267pw,0.26
59.0,0.0,cy0267pw,0.28
57.0,0.0,cy0267pw,0.3
55.0,0.0,cy0267pw,0.32
55.0,0.0,cy0267pw,0.34
56.0,0.0,cy0267pw,0.36
54.0,0.0,cy0267pw,0.38
57.0,0.0,cy0267pw,0.4
58.0,0.0,cy0267pw,0.42
55.0,0.0,cy0267pw,0.44
54.0,0.0,cy0267pw,0.46
56.0,0.0,cy0267pw,0.48
54.0,0.0,cy0267pw,0.5
53.0,0.0,cy0267pw,0.52
55.0,0.0,cy0267pw,0.54
54.0,0.0,cy0267pw,0.56
52.0,0.0,cy0267pw,0.58
53.0,0.0,cy0267pw,0.6
54.0,0.0,cy0267pw,0.62
53.0,0.0,cy0267pw,0.64
52.0,0.0,cy0267pw,0.66
50.0,0.0,cy0267pw,0.68
52.0,0.0,cy0267pw,0.7
53.0,0.0,cy0267pw,0.72
53.0,0.0,cy0267pw,0.74
55.0,0.0,cy0267pw,0.76
56.0,0.0,cy0267pw,0.78
54.0,0.0,cy0267pw,0.8
52.0,0.0,cy0267pw,0.82
54.0,0.0,cy0267pw,0.84
55.0,0.0,cy0267pw,0.86
54.0,0.0,cy0267pw,0.88
55.0,0.0,cy0267pw,0.9
57.0,0.0,cy0267pw,0.92
54.0,0.0,cy0267pw,0.94
54.0,0.0,cy0267pw,0.96
56.0,0.0,cy0267pw,0.98
56.0,0.0,cy0267pw,1.0
56.0,0.0,cy0267pw,1.02
54.0,0.0,cy0267pw,1.04
53.0,0.0,cy0267pw,1.06
54.0,0.0,cy0267pw,1.08
55.0,0.0,cy0267pw,1.1
54.0,0.0,cy0267pw,1.12
54.0,0.0,cy0267pw,1.14
54.0,0.0,cy0267pw,1.16
54.0,0.0,cy0267pw,1.18
55.0,0.0,cy0267pw,1.2
54.0,0.0,cy0267pw,1.22
56.0,0.0,cy0267pw,1.24
55.0,0.0,cy0267pw,1.26
55.0,0.0,cy0267pw,1.28
56.0,0.0,cy0267pw,1.3
57.0,0.0,cy0267pw,1.32
67.0,0.0,cy0267pw,1.34
79.0,208.0,cy0267pw,1.36
81.0,195.0,cy0267pw,1.38
81.0,183.0,cy0267pw,1.4
83.0,174.0,cy0267pw,1.42
83.0,167.0,cy0267pw,1.44
82.0,163.0,cy0267pw,1.46
81.0,163.0,cy0267pw,1.48
82.0,164.0,cy0267pw,1.5
82.0,164.0,cy0267pw,1.52
81.0,166.0,cy0267pw,1.54
81.0,165.0,cy0267pw,1.56
82.0,169.0,cy0267pw,1.58
82.0,176.0,cy0267pw,1.6
82.0,181.0,cy0267pw,1.62
82.0,186.0,cy0267pw,1.64
80.0,184.0,cy0267pw,1.66
75.0,184.0,cy0267pw,1.68
80.0,181.0,cy0267pw,1.7
81.0,171.0,cy0267pw,1.72
